Div,HomeTeam,AwayTeam,HC,AC
E1,Al Hamriyah,Emirates Club RAK,5,7
E1,Majd FC,Al Fujairah,0,10
E1,Dubai City,Hatta Dubai,9,2
E1,Al Thaid,Dibba Al Hisn,5,2
E1,Al Arabi Umm Al Quwain,Gulf United FC,3,7
E1,Dubai United,Al Urooba,5,4
E1,Emirates Club RAK,Al Ittifaq Dubai,3,2
E1,Hatta Dubai,Al Thaid,6,3
E1,Dibba Al Hisn,Al Hamriyah,8,5
E1,Al Jazira Al Hamra,Majd FC,10,3
E1,Al Fujairah,Dubai City,10,2
E1,Al Ittifaq Dubai,Dubai United,4,2
E1,Al Arabi Umm Al Quwain,Dubai United,5,4
E1,Al Ittifaq Dubai,Dibba Al Hisn,5,8
E1,Al Urooba,Emirates Club RAK,6,10
E1,Al Thaid,Al Fujairah,3,7
E1,Al Hamriyah,Hatta Dubai,5,5
E1,Al Jazira Al Hamra,Dubai City,7,3
E1,Masfout CSC,Gulf United FC,6,2
E1,Al Ittifaq Dubai,Al Urooba,7,8
E1,Al Hamriyah,Al Arabi Umm Al Quwain,3,2
E1,Dubai United,Masfout CSC,5,2
E1,Majd FC,Dubai City,2,5
E1,Dibba Al Hisn,Al Urooba,6,2
E1,Al Fujairah,Al Hamriyah,4,3
E1,Al Jazira Al Hamra,Al Thaid,5,3
E1,Emirates Club RAK,Al Arabi Umm Al Quwain,2,3
E1,Hatta Dubai,Al Ittifaq Dubai,8,1
E1,Gulf United FC,Dubai United,1,2
E1,Al Ittifaq Dubai,Al Fujairah,4,2
E1,Al Urooba,Hatta Dubai,9,1
E1,Al Hamriyah,Al Jazira Al Hamra,5,2
E1,Al Thaid,Majd FC,5,0
E1,Al Arabi Umm Al Quwain,Dibba Al Hisn,4,2
E1,Masfout CSC,Emirates Club RAK,4,3
E1,Al Fujairah,Dubai United,3,5
E1,Al Hamriyah,Al Ittifaq Dubai,5,4
E1,Al Fujairah,Dibba Al Hisn,6,6
E1,Dubai United,Majd FC,6,4
E1,Majd FC,Al Hamriyah,5,1
E1,Dubai City,Al Thaid,1,0
E1,Al Jazira Al Hamra,Al Ittifaq Dubai,3,5
E1,Al Fujairah,Al Urooba,7,3
E1,Dibba Al Hisn,Masfout CSC,4,7
E1,Emirates Club RAK,Gulf United FC,0,4
E1,Hatta Dubai,Al Arabi Umm Al Quwain,2,7
E1,Dubai United,Emirates Club RAK,1,8
E1,Al Ittifaq Dubai,Majd FC,7,4
E1,Al Hamriyah,Dubai City,5,0
E1,Al Arabi Umm Al Quwain,Al Fujairah,2,5
E1,Al Urooba,Al Jazira Al Hamra,4,4
E1,Dibba Al Hisn,Gulf United FC,12,6
E1,Masfout CSC,Hatta Dubai,8,10
E1,Dubai City,Al Ittifaq Dubai,2,3
E1,Al Thaid,Al Hamriyah,10,3
E1,Hatta Dubai,Gulf United FC,5,8
E1,Al Urooba,Majd FC,8,3
E1,Dibba Al Hisn,Dubai United,5,4
E1,Al Jazira Al Hamra,Al Arabi Umm Al Quwain,7,4
E1,Al Fujairah,Masfout CSC,3,2
E1,Al Ittifaq Dubai,Al Thaid,5,5
E1,Al Arabi Umm Al Quwain,Majd FC,3,1
E1,Al Urooba,Dubai City,3,5
E1,Dubai United,Hatta Dubai,6,1
E1,Emirates Club RAK,Dibba Al Hisn,11,1
E1,Gulf United FC,Al Fujairah,3,4
E1,Masfout CSC,Al Jazira Al Hamra,2,4
E1,Majd FC,Masfout CSC,6,7
E1,Dubai City,Al Arabi Umm Al Quwain,4,7
E1,Al Thaid,Al Urooba,3,6
E1,Hatta Dubai,Emirates Club RAK,3,7
E1,Al Jazira Al Hamra,Gulf United FC,10,5
E1,Masfout CSC,Dubai City,3,4
E1,Al Urooba,Al Hamriyah,12,0
E1,Al Arabi Umm Al Quwain,Al Thaid,3,5
E1,Dibba Al Hisn,Hatta Dubai,7,6
E1,Emirates Club RAK,Al Fujairah,1,2
E1,Dubai United,Al Jazira Al Hamra,5,2
E1,Gulf United FC,Majd FC,0,3
E1,Al Thaid,Masfout CSC,5,4
E1,Dubai City,Gulf United FC,3,11
E1,Al Jazira Al Hamra,Emirates Club RAK,2,5
E1,Dubai United,Dubai City,7,6
E1,Al Arabi Umm Al Quwain,Al Ittifaq Dubai,4,4
E1,Al Thaid,Gulf United FC,6,3
E1,Hatta Dubai,Al Fujairah,5,10
E1,Dibba Al Hisn,Al Jazira Al Hamra,6,1
E1,Emirates Club RAK,Majd FC,3,4
E1,Masfout CSC,Al Hamriyah,3,2
E1,Al Urooba,Al Arabi Umm Al Quwain,12,4
E1,Al Ittifaq Dubai,Masfout CSC,3,3
E1,Al Thaid,Dubai United,5,5
E1,Al Hamriyah,Gulf United FC,4,5
E1,Dibba Al Hisn,Majd FC,5,1
E1,Al Jazira Al Hamra,Hatta Dubai,5,4
E1,Dubai City,Emirates Club RAK,5,6
E1,Al Dhaid,Al Hamriyah,3,9
E1,Masfout CSC,Dubai United,4,5
E1,Al Arabi Umm Al Quwain,Al Dhafra SCC,2,1
E1,Majd FC,Al Fujairah,3,3
E1,Hatta Dubai,Gulf United FC,8,4
E1,Dibba Al Fujairah,Al Jazira Al Hamra,3,7
E1,Emirates Club RAK,Dubai United,1,4
E1,Al Jazira Al Hamra,Al Dhaid,4,10
E1,Al Hamriyah,Hatta Dubai,3,2
E1,Gulf United FC,Majd FC,6,1
E1,Al Fujairah,Gulf FC,7,3
E1,Al Dhafra SCC,Masfout CSC,2,4
E1,Al Dhaid,Dibba Al Fujairah,6,3
E1,Hatta Dubai,Al Jazira Al Hamra,7,2
E1,Majd FC,Al Hamriyah,3,4
E1,Gulf FC,Gulf United FC,3,3
E1,Al Arabi Umm Al Quwain,Al Fujairah,4,6
E1,Emirates Club RAK,Al Dhafra SCC,2,7
E1,Al Dhafra SCC,Dubai United,2,6
E1,Al Arabi Umm Al Quwain,Gulf United FC,3,3
E1,Al Arabi Umm Al Quwain,Gulf United FC,3,3
E1,Dibba Al Fujairah,Hatta Dubai,10,6
E1,Al Hamriyah,Gulf FC,4,2
E1,Al Fujairah,Masfout CSC,5,1
E1,Al Arabi Umm Al Quwain,Al Hamriyah,3,4
E1,Masfout CSC,Gulf United FC,6,1
E1,Hatta Dubai,Al Dhaid,2,5
E1,Emirates Club RAK,Al Fujairah,0,2
E1,Majd FC,Dibba Al Fujairah,3,9
E1,Gulf FC,Al Jazira Al Hamra,7,3
E1,Dibba Al Fujairah,Gulf FC,10,1
E1,Gulf United FC,Emirates Club RAK,5,2
E1,Al Fujairah,Dubai United,7,8
E1,Al Hamriyah,Masfout CSC,1,3
E1,Al Jazira Al Hamra,Al Arabi Umm Al Quwain,5,5
E1,Al Dhaid,Majd FC,5,1
E1,Emirates Club RAK,Al Hamriyah,5,9
E1,Hatta Dubai,Majd FC,8,8
E1,Al Arabi Umm Al Quwain,Dibba Al Fujairah,2,5
E1,Dubai United,Gulf United FC,8,6
E1,Al Dhafra SCC,Al Fujairah,6,5
E1,Masfout CSC,Al Jazira Al Hamra,1,5
E1,Al Dhaid,Gulf FC,7,3
E1,Gulf United FC,Al Dhafra SCC,4,3
E1,Al Dhaid,Al Arabi Umm Al Quwain,7,1
E1,Dibba Al Fujairah,Masfout CSC,5,3
E1,Al Jazira Al Hamra,Emirates Club RAK,2,8
E1,Al Hamriyah,Dubai United,2,4
E1,Masfout CSC,Al Dhaid,1,9
E1,Al Arabi Umm Al Quwain,Hatta Dubai,3,7
E1,Emirates Club RAK,Dibba Al Fujairah,8,4
E1,Majd FC,Gulf Heroes FC,5,1
E1,Al Dhafra SCC,Al Hamriyah,4,2
E1,Dubai United,Al Jazira Al Hamra,1,5
E1,Majd FC,Al Arabi Umm Al Quwain,5,4
E1,Hatta Dubai,Masfout CSC,6,3
E1,Al Dhaid,Emirates Club RAK,3,7
E1,Al Jazira Al Hamra,Al Dhafra SCC,2,6
E1,Dibba Al Fujairah,Dubai United,7,4
E1,Gulf United FC,Al Fujairah,5,2
E1,Masfout CSC,Majd FC,10,3
E1,Emirates Club RAK,Hatta Dubai,6,0
E1,Al Arabi Umm Al Quwain,Gulf Heroes FC,8,5
E1,Al Dhafra SCC,Dibba Al Fujairah,3,3
E1,Dubai United,Al Dhaid,3,5
E1,Al Fujairah,Al Hamriyah,8,3
E1,Al Hamriyah,Gulf United FC,3,5
E1,Gulf Heroes FC,Masfout CSC,2,2
E1,Al Dhaid,Al Dhafra SCC,3,2
E1,Majd FC,Emirates Club RAK,3,3
E1,Hatta Dubai,Dubai United,9,6
E1,Al Jazira Al Hamra,Al Fujairah,4,5
E1,Al Dhafra SCC,Hatta Dubai,4,2
E1,Dubai United,Majd FC,8,7
E1,Masfout CSC,Al Arabi Umm Al Quwain,3,4
E1,Al Fujairah,Dibba Al Fujairah,3,3
E1,Emirates Club RAK,Gulf Heroes FC,5,2
E1,Gulf United FC,Al Jazira Al Hamra,5,5
E1,Al Dhaid,Al Fujairah,5,3
E1,Dibba Al Fujairah,Gulf United FC,10,4
E1,Al Arabi Umm Al Quwain,Emirates Club RAK,2,4
E1,Majd FC,Al Dhafra SCC,1,6
E1,Al Jazira Al Hamra,Al Hamriyah,5,7
E1,Gulf Heroes FC,Dubai United,6,10
E1,Al Hamriyah,Dibba Al Fujairah,9,2
E1,Al Fujairah,Hatta Dubai,3,4
E1,Emirates Club RAK,Masfout CSC,6,2
E1,Gulf United FC,Al Dhaid,1,3
E1,Al Dhafra SCC,Gulf Heroes FC,3,4
E1,Dubai United,Al Arabi Umm Al Quwain,7,2
E1,Al Fujairah,Majd FC,3,2
E1,Al Hamriyah,Al Dhaid,5,6
E1,Al Jazira Al Hamra,Dibba Al Fujairah,5,6
E1,Al Dhafra SCC,Al Arabi Umm Al Quwain,2,3
E1,Gulf United FC,Hatta Dubai,3,4
E1,Dubai United,Masfout CSC,9,1
E1,Hatta Dubai,Al Hamriyah,7,4
E1,Al Dhaid,Al Jazira Al Hamra,8,6
E1,Emirates Club RAK,Dubai United,4,11
E1,Majd FC,Gulf United FC,1,9
E1,Gulf Heroes FC,Al Fujairah,6,8
E1,Masfout CSC,Al Dhafra SCC,3,6
E1,Al Hamriyah,Majd FC,12,5
E1,Dibba Al Fujairah,Al Dhaid,3,1
E1,Gulf United FC,Gulf Heroes FC,8,3
E1,Al Dhafra SCC,Emirates Club RAK,7,3
E1,Al Fujairah,Al Arabi Umm Al Quwain,4,4
E1,Al Jazira Al Hamra,Hatta Dubai,4,1
E1,Dubai United,Al Dhafra SCC,3,4
E1,Masfut,Al Fujairah,6,3
E1,Al Arabi Umm Al Quwain,Gulf United FC,6,4
E1,Majd FC,Al Jazira Al Hamra,7,4
E1,Gulf FC,Al Hamriyah,4,5
E1,Hatta Dubai,Dibba Al Fujairah,6,6
E1,Gulf United FC,Masfout CSC,1,3
E1,Al Dhaid,Hatta Dubai,9,7
E1,Dibba Al Fujairah,Al Dahra FC,9,5
E1,Al Hamriyah,Al Arabi Umm Al Quwain,6,7
E1,Al Jazira Al Hamra,Gulf Heroes FC,7,3
E1,Al Fujairah,Emirates Club RAK,2,6
E1,Dibba Al Fujairah,Al Fujairah,5,2
E1,Hatta Dubai,Al Dhafra SCC,5,7
E1,Majd FC,Al Dhaid,3,4
E1,Masfout CSC,Al Hamriyah,6,1
E1,Dubai United,Al Fujairah,7,7
E1,Al Arabi Umm Al Quwain,Al Jazira Al Hamra,7,4
E1,Gulf Heroes FC,Dibba Al Fujairah,1,8
E1,Emirates Club RAK,Gulf United FC,5,2
E1,Al Jazira Al Hamra,Masfout CSC,4,3
E1,Hatta Dubai,Majd FC,5,1
E1,Al Fujairah,Al Dhafra SCC,2,5
E1,Al Dhaid,Gulf FC,4,2
E1,Gulf United FC,Dubai United,3,5
E1,Al Hamriyah,Emirates Club RAK,7,0
E1,Dibba Al Fujairah,Al Arabi Umm Al Quwain,11,1
E1,Al Arabi Umm Al Quwain,Al Dhaid,5,1
E1,Dubai United,Al Hamriyah,4,6
E1,Emirates Club RAK,Al Jazira Al Hamra,5,3
E1,Masfout CSC,Dibba Al Fujairah,1,7
E1,Al Dhafra SCC,Gulf United FC,10,7
E1,Gulf Heroes FC,Hatta Dubai,2,5
E1,Dibba Al Fujairah,Emirates Club RAK,6,5
E1,Al Jazira Al Hamra,Dubai United,3,11
E1,Majd FC,Gulf Heroes FC,3,3
E1,Al Hamriyah,Al Dhafra SCC,5,5
E1,Hatta Dubai,Al Arabi Umm Al Quwain,16,2
E1,Al Dhaid,Masfout CSC,3,4
E1,Al Dhafra SCC,Al Jazira Al Hamra,8,1
E1,Masfout CSC,Hatta Dubai,3,5
E1,Al Fujairah,Gulf United FC,9,3
E1,Al Arabi Umm Al Quwain,Majd FC,4,5
E1,Dubai United,Dibba Al Fujairah,7,5
E1,Emirates Club RAK,Al Dhaid,4,4
E1,Al Hamriyah,Al Fujairah,4,3
E1,Gulf Heroes FC,Al Arabi Umm Al Quwain,1,4
E1,Hatta Dubai,Emirates Club RAK,8,6
E1,Dibba Al Fujairah,Al Dhafra SCC,1,6
E1,Al Dahra FC,Masfout CSC,2,6
E1,Al Dhaid,Dubai United,6,3
E1,Gulf United FC,Al Hamriyah,1,7
E1,Al Fujairah,Al Jazira Al Hamra,1,3
E1,Al Dhafra SCC,Al Dhaid,4,10
E1,Dubai United,Hatta Dubai,2,6
E1,Masfout CSC,Gulf Heroes FC,5,4
E1,Al Arabi Umm Al Quwain,Masfout CSC,4,2
E1,Al Jazira Al Hamra,Gulf United FC,4,3
E1,Gulf Heroes FC,Emirates Club RAK,1,4
E1,Al Dhaid,Fleetwood United,3,3
E1,Al Hamriyah,Al Jazira Al Hamra,5,5
E1,Dubai United,Gulf Heroes FC,3,0
E1,Emirates Club RAK,Al Arabi Umm Al Quwain,8,2
E1,Gulf United FC,Dibba Al Fujairah,3,9
E1,Al Fujairah,Al Dhaid,1,5
E1,Al Arabi Umm Al Quwain,Dubai United,3,3
E1,Masfout CSC,Emirates Club RAK,2,4
E1,Hatta Dubai,Al Fujairah,9,1
E1,Masfout CSC,Emirates Club RAK,2,4
E1,Al Dhaid,Gulf United FC,6,2
E1,Al Arabi Umm Al Quwain,Al Urooba,3,6
E1,Al Fujairah,Al Dhaid,3,2
E1,Al Hamriyah,Gulf United FC,5,1
E1,Masfout CSC,City FC,5,5
E1,Al Jazira Al Hamra,Gulf Heroes FC,6,7
E1,Dibba Al Hisn,Al Taawon,5,1
E1,Masafi,Dubai United,2,7
E1,Al Dhafra SCC,Gulf Heroes FC,6,4
E1,Al Jazira Al Hamra,Gulf United FC,6,4
E1,Al Dhaid,Masfout CSC,9,7
E1,Dubai United,Dibba Al Hisn,2,5
E1,Dibba Al Fujairah,Al Fujairah,6,9
E1,Al Urooba,Al Hamriyah,7,6
E1,Dibba Al Hisn,City FC,6,0
E1,Masafi,Al Dhaid,3,6
E1,Al Hamriyah,Al Taawon,10,2
E1,Al Jazira Al Hamra,Al Urooba,7,11
E1,Masfout CSC,Dibba Al Fujairah,2,9
E1,Al Dhafra SCC,Gulf United FC,4,2
E1,Al Arabi Umm Al Quwain,Dubai United,2,2
E1,Gulf United FC,Gulf Heroes FC,4,1
E1,Al Urooba,Al Dhafra SCC,4,6
E1,Dibba Al Fujairah,Masafi,8,3
E1,Dubai United,Al Hamriyah,6,4
E1,Al Dhaid,Dibba Al Hisn,1,4
E1,Al Taawon,Al Jazira Al Hamra,6,1
E1,Al Arabi Umm Al Quwain,City FC,5,1
E1,Al Dhafra SCC,Al Taawon,6,1
E1,Masfout CSC,Al Fujairah,1,8
E1,Gulf Heroes FC,Al Urooba,4,8
E1,Al Hamriyah,City FC,10,4
E1,Al Arabi Umm Al Quwain,Al Dhaid,6,3
E1,Dibba Al Hisn,Dibba Al Fujairah,5,3
E1,Al Jazira Al Hamra,Dubai United,4,7
E1,Al Dhaid,Al Hamriyah,3,4
E1,Al Jazira Al Hamra,City FC,5,0
E1,Al Dhaid,Al Hamriyah,3,4
E1,Dubai United,Al Dhafra SCC,3,4
E1,Al Taawon,Gulf Heroes FC,3,2
E1,Al Urooba,Gulf United FC,6,5
E1,Gulf Heroes FC,Dubai United,4,11
E1,Al Hamriyah,Dibba Al Fujairah,6,1
E1,Al Jazira Al Hamra,Al Dhaid,2,5
E1,Dibba Al Hisn,Al Fujairah,7,3
E1,Al Dhafra SCC,City FC,2,1
E1,Gulf United FC,Al Taawon,6,5
E1,Masafi,Masfout CSC,4,1
E1,Dubai United,Gulf United FC,4,5
E1,City FC,Gulf Heroes FC,3,1
E1,Masfout CSC,Dibba Al Hisn,1,8
E1,Al Taawon,Al Urooba,1,1
E1,Dibba Al Fujairah,Al Jazira Al Hamra,6,1
E1,Al Fujairah,Al Arabi Umm Al Quwain,3,6
E1,Al Dhaid,Al Dhafra SCC,5,8
E1,Masafi,Gulf Heroes FC,8,6
E1,Dibba Al Fujairah,Dubai United,3,5
E1,Dibba Al Hisn,Al Dhafra SCC,4,4
E1,Al Arabi Umm Al Quwain,Al Jazira Al Hamra,5,5
E1,Al Rams,Al Taawon,8,3
E1,Al Dhaid,City FC,7,0
E1,Al Fujairah,Al Urooba,4,9
E1,Masfout CSC,Gulf United FC,8,9
E1,Gulf United FC,City FC,3,2
E1,Al Arabi Umm Al Quwain,Masfout CSC,4,7
E1,Al Jazira Al Hamra,Al Rams,5,8
E1,Al Hamriyah,Al Fujairah,5,5
E1,Dibba Al Hisn,Masafi,9,3
E1,Dubai United,Al Urooba,0,0
E1,Al Dhafra SCC,Dibba Al Fujairah,7,9
E1,Al Dhaid,Gulf Heroes FC,6,3
E1,Dibba Al Fujairah,Gulf Heroes FC,9,3
E1,Masafi,Al Arabi Umm Al Quwain,3,2
E1,Dubai United,Al Taawon,6,4
E1,Al Fujairah,Al Jazira Al Hamra,7,3
E1,City FC,Al Urooba,1,12
E1,Al Dhaid,Gulf United FC,4,4
E1,Al Rams,Al Dhafra SCC,4,7
E1,Masfout CSC,Al Hamriyah,5,6
E1,Al Hamriyah,Masafi,4,7
E1,Al Jazira Al Hamra,Masfout CSC,3,7
E1,Al Taawon,City FC,7,5
E1,Al Arabi Umm Al Quwain,Dibba Al Hisn,4,6
E1,Al Dhafra SCC,Al Fujairah,7,4
E1,Gulf United FC,Dibba Al Fujairah,9,4
E1,Al Urooba,Al Dhaid,2,3
E1,Gulf Heroes FC,Al Rams,4,3
E1,City FC,Dubai United,4,9
E1,Al Dhaid,Al Taawon,9,1
E1,Dibba Al Hisn,Al Hamriyah,2,2
E1,Masafi,Al Jazira Al Hamra,8,3
E1,Masfout CSC,Al Dhafra SCC,2,9
E1,Dibba Al Fujairah,Al Urooba,4,4
E1,Al Fujairah,Gulf Heroes FC,4,3
E1,Al Rams,Gulf United FC,5,7
E1,Al Dhafra SCC,Masafi,3,4
E1,Dubai United,Al Dhaid,4,6
E1,Masfout CSC,Gulf Heroes FC,1,0
E1,Al Urooba,Al Rams,4,3
E1,Al Taawon,Dibba Al Fujairah,1,4
E1,Al Arabi Umm Al Quwain,Al Hamriyah,2,1
E1,Gulf United FC,Al Fujairah,1,7
E1,Al Jazira Al Hamra,Dibba Al Hisn,3,6
E1,Gulf United FC,Masafi,3,3
E1,Dubai United,Al Rams,5,2
E1,Al Jazira Al Hamra,Al Hamriyah,7,8
E1,Dibba Al Hisn,Gulf Heroes FC,4,5
E1,Al Urooba,Masfout CSC,6,4
E1,Al Dhafra SCC,Al Arabi Umm Al Quwain,6,1
E1,Al Taawon,Al Fujairah,3,6
E1,Dibba Al Fujairah,City FC,8,2
E1,Al Fujairah,Dubai United,1,3
E1,Al Rams,City FC,16,2
E1,Dibba Al Fujairah,Al Dhaid,14,2
E1,Al Taawon,Masfout CSC,5,1
E1,Al Arabi Umm Al Quwain,Gulf Heroes FC,2,4
E1,Al Hamriyah,Al Dhafra SCC,5,4
E1,Masafi,Al Urooba,4,3
E1,Dibba Al Hisn,Gulf United FC,7,2
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,
E1,,,,